ob_end_time,id_type,id,ob_hour_count,met_domain_-999me,version_num,src_id,rec_st_ind,mean_wind_dir,mean_wind_speed,max_gust_dir,max_gust_speed,max_gust_ctime,mean_wind_dir_q,mean_wind_speed_q,max_gust_dir_q,max_gust_speed_q,max_gust_ctime_q,mean_wind_dir_j,mean_wind_speed_j,max_gust_dir_j,max_gust_speed_j,meto_stmp_time,midas_stmp_etime
05/01/2014 23:00,WIND,163301,1,HCM,1,19260,1011,190,12,210,23,2241,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 22:52,0
06/01/2014 00:00,WIND,163301,1,HCM,1,19260,1011,210,14,230,27,2258,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 23:52,0
06/01/2014 01:00,WIND,163301,1,HCM,1,19260,1011,220,12,220,24,49,6,6,6,6,6,-999,-999,-999,-999,06/01/2014 00:52,0
06/01/2014 02:00,WIND,163301,1,HCM,1,19260,1011,220,12,240,27,58,6,6,6,6,6,-999,-999,-999,-999,06/01/2014 01:52,0
06/01/2014 03:00,WIND,163301,1,HCM,1,19260,1011,220,11,210,23,215,6,6,6,6,6,-999,-999,-999,-999,06/01/2014 02:52,0
06/01/2014 04:00,WIND,163301,1,HCM,1,19260,1011,210,12,220,24,333,6,6,6,6,6,-999,-999,-999,-999,06/01/2014 03:53,0
06/01/2014 05:00,WIND,163301,1,HCM,1,19260,1011,220,11,220,22,441,6,6,6,6,6,-999,-999,-999,-999,06/01/2014 04:52,0
06/01/2014 06:00,WIND,163301,1,HCM,1,19260,1011,210,16,220,29,538,6,6,6,6,6,-999,-999,-999,-999,06/01/2014 05:52,0
06/01/2014 07:00,WIND,163301,1,HCM,1,19260,1011,210,15,220,26,643,6,6,6,6,6,-999,-999,-999,-999,06/01/2014 06:57,0
06/01/2014 08:00,WIND,163301,1,HCM,1,19260,1011,210,17,210,30,732,6,6,6,6,6,-999,-999,-999,-999,06/01/2014 07:52,0
06/01/2014 09:00,WIND,163301,1,HCM,1,19260,1011,200,16,190,35,823,6,6,6,6,6,-999,-999,-999,-999,06/01/2014 08:53,0
06/01/2014 10:00,WIND,163301,1,HCM,1,19260,1011,190,15,190,33,909,6,6,6,6,6,-999,-999,-999,-999,06/01/2014 09:52,0
06/01/2014 11:00,WIND,163301,1,HCM,1,19260,1011,190,14,200,31,1049,6,6,6,6,6,-999,-999,-999,-999,06/01/2014 10:52,0
06/01/2014 12:00,WIND,163301,1,HCM,1,19260,1011,190,15,200,32,1057,6,6,6,6,6,-999,-999,-999,-999,06/01/2014 11:57,0
06/01/2014 13:00,WIND,163301,1,HCM,1,19260,1011,200,14,190,33,1159,6,6,6,6,6,-999,-999,-999,-999,06/01/2014 12:52,0
06/01/2014 14:00,WIND,163301,1,HCM,1,19260,1011,210,14,210,34,1316,6,6,6,6,6,-999,-999,-999,-999,06/01/2014 13:57,0
06/01/2014 15:00,WIND,163301,1,HCM,1,19260,1011,210,17,200,29,1404,6,6,6,6,6,-999,-999,-999,-999,06/01/2014 14:52,0
06/01/2014 16:00,WIND,163301,1,HCM,1,19260,1011,210,17,220,30,1505,6,6,6,6,6,-999,-999,-999,-999,06/01/2014 15:52,0
