# U  POINT_DATA 64516
#  x  y  z  U_x  U_y  U_z  
3505112.5 3730412.5 2 1.289230578 -0.03935488882 0.0007925419056
3505112.5 3730387.5 2 1.27670082 -0.04236625469 0.0006184415723
3505137.5 3730412.5 2 1.286447358 -0.04472710479 0.001445533235
3505137.5 3730387.5 2 1.273368842 -0.0466532721 0.001514646458
3505162.5 3730412.5 2 1.283405933 -0.05063836822 0.002181768839
3505162.5 3730387.5 2 1.270205619 -0.05149421783 0.002694184058
3505187.5 3730412.5 2 1.280320504 -0.0568906762 0.002505272314
3505187.5 3730387.5 2 1.267279802 -0.05692255492 0.003130925256
3505212.5 3730412.5 2 1.277612481 -0.0637865356 0.002874028864
3505212.5 3730387.5 2 1.265004739 -0.06312634922 0.003813849339
3505237.5 3730412.5 2 1.275036872 -0.07109955892 0.003079216438
3505237.5 3730387.5 2 1.262967967 -0.06993552 0.004129310182
3505262.5 3730412.5 2 1.273148916 -0.07903482259 0.003276822771
3505262.5 3730387.5 2 1.261899935 -0.07751519091 0.004493245933
3505287.5 3730412.5 2 1.271572371 -0.08739129754 0.003337305164
3505287.5 3730387.5 2 1.26123565 -0.08565351646 0.004541353275
3505312.5 3730412.5 2 1.270475069 -0.09639353933 0.003561523413
3505312.5 3730387.5 2 1.261142258 -0.0944766962 0.004912666809
3505337.5 3730412.5 2 1.269360768 -0.1058333652 0.003635006529
3505337.5 3730387.5 2 1.26088936 -0.1038178196 0.00501698912
3505362.5 3730412.5 2 1.268897717 -0.1158563965 0.003712932119
3505362.5 3730387.5 2 1.261467779 -0.1138712025 0.005150780461
3505387.5 3730412.5 2 1.268421434 -0.126177328 0.003679562635
3505387.5 3730387.5 2 1.262116044 -0.1243300658 0.005008783683
3505412.5 3730412.5 2 1.268222355 -0.1369150175 0.003764414057
3505412.5 3730387.5 2 1.263287586 -0.1352813791 0.005174000236
3505437.5 3730412.5 2 1.267663604 -0.1477423416 0.003611053194
3505437.5 3730387.5 2 1.26407021 -0.1464157113 0.005041901526
3505462.5 3730412.5 2 1.26726903 -0.1586205779 0.00333558065
3505462.5 3730387.5 2 1.265683477 -0.1577934444 0.004849941789
3505487.5 3730412.5 2 1.266831204 -0.1693144717 0.002800496795
3505487.5 3730387.5 2 1.267216212 -0.1689876485 0.004324579514
3505512.5 3730412.5 2 1.266774025 -0.1799498432 0.002194355266
3505512.5 3730387.5 2 1.26922664 -0.1800956242 0.004019489294
3505537.5 3730412.5 2 1.26685124 -0.1902218824 0.001292827376
3505537.5 3730387.5 2 1.270902394 -0.1908243604 0.003295623659
3505562.5 3730412.5 2 1.267704338 -0.2000117003 0.000313740268
3505562.5 3730387.5 2 1.273150298 -0.2011740246 0.002306497548
3505587.5 3730412.5 2 1.26894109 -0.2092949622 -0.0008621407086
3505587.5 3730387.5 2 1.275646072 -0.2109129395 0.0009566750044
3505612.5 3730412.5 2 1.270807075 -0.2182241559 -0.002059575147
3505612.5 3730387.5 2 1.278815549 -0.2202218733 -0.0001708536185
3505637.5 3730412.5 2 1.272941348 -0.2266721629 -0.003475257155
3505637.5 3730387.5 2 1.281942404 -0.2289919417 -0.001629113551
3505662.5 3730412.5 2 1.275817545 -0.2345825419 -0.004794388935
3505662.5 3730387.5 2 1.285877411 -0.2373288329 -0.003143990125
3505687.5 3730412.5 2 1.278756486 -0.2421640961 -0.006195936854
3505687.5 3730387.5 2 1.289658503 -0.2451788914 -0.004720173878
3505712.5 3730412.5 2 1.281740563 -0.24952391 -0.007508381208
3505712.5 3730387.5 2 1.293397724 -0.2528122624 -0.0061098142
3505737.5 3730412.5 2 1.284463434 -0.2566631489 -0.008954899144
3505737.5 3730387.5 2 1.296389969 -0.2602264419 -0.007747533573
3505762.5 3730412.5 2 1.287200225 -0.2634803345 -0.01012165493
3505762.5 3730387.5 2 1.299183123 -0.2674128701 -0.009348545955
3505787.5 3730412.5 2 1.289068599 -0.2702850114 -0.01122429813
3505787.5 3730387.5 2 1.300681704 -0.2743880904 -0.01076180695
3505812.5 3730412.5 2 1.289719226 -0.2770902816 -0.01212390628
3505812.5 3730387.5 2 1.300651178 -0.2813419712 -0.01201462359
3505837.5 3730412.5 2 1.289020669 -0.2839947566 -0.01303291493
3505837.5 3730387.5 2 1.298584773 -0.288349131 -0.01308844347
3505862.5 3730412.5 2 1.286939251 -0.2907134718 -0.01348662701
3505862.5 3730387.5 2 1.294696255 -0.2952973338 -0.01412418865
3505887.5 3730412.5 2 1.282585734 -0.2974684335 -0.01370995009
3505887.5 3730387.5 2 1.288033769 -0.3023646374 -0.01474856494
3505912.5 3730412.5 2 1.275650528 -0.304020061 -0.01390309656
3505912.5 3730387.5 2 1.278365684 -0.3095679254 -0.01555536379
3505937.5 3730412.5 2 1.266527357 -0.3104974598 -0.01399478037
3505937.5 3730387.5 2 1.26590079 -0.3169849698 -0.01609854156
3505962.5 3730412.5 2 1.25480928 -0.3164856364 -0.01357897813
3505962.5 3730387.5 2 1.250461723 -0.3241985109 -0.01655892592
3505987.5 3730412.5 2 1.239761927 -0.3221584439 -0.01286879466
3505987.5 3730387.5 2 1.23143866 -0.3314117677 -0.01648185308
3506012.5 3730412.5 2 1.221393615 -0.3271073261 -0.01237614793
3506012.5 3730387.5 2 1.208950092 -0.338379829 -0.01690635665
3506037.5 3730412.5 2 1.200585744 -0.3315016271 -0.01179555204
3506037.5 3730387.5 2 1.183897792 -0.3450743674 -0.01701909592
3506062.5 3730412.5 2 1.176918714 -0.3348308921 -0.01101057749
3506062.5 3730387.5 2 1.156003171 -0.3508478769 -0.01715877156
3506087.5 3730412.5 2 1.150401624 -0.3372343278 -0.009937145532
3506087.5 3730387.5 2 1.125423484 -0.3556918753 -0.01682460853
3506112.5 3730412.5 2 1.121181484 -0.3382080917 -0.009223183508
3506112.5 3730387.5 2 1.092427976 -0.3591836038 -0.01697927278
3506137.5 3730412.5 2 1.090121139 -0.3379293019 -0.008409767383
3506137.5 3730387.5 2 1.057850566 -0.3612649186 -0.0167589844
3506162.5 3730412.5 2 1.057013284 -0.3358998366 -0.007720538412
3506162.5 3730387.5 2 1.021617539 -0.3613810865 -0.01686644803
3506187.5 3730412.5 2 1.022813347 -0.3323765303 -0.00685693508
3506187.5 3730387.5 2 0.984703229 -0.3596167694 -0.01666965087
3506212.5 3730412.5 2 0.9873146798 -0.3269101876 -0.006210764943
3506212.5 3730387.5 2 0.9469675931 -0.3556241169 -0.01659683849
3506237.5 3730412.5 2 0.9508564389 -0.319891184 -0.005408858636
3506237.5 3730387.5 2 0.9086175944 -0.349763518 -0.01617248943
3506262.5 3730412.5 2 0.9135899763 -0.3109752482 -0.005176830075
